pre_skeleton_id,post_skeleton_id,weight
2612527,16428343,1
2612527,16428348,1
2612527,16444548,5
2612527,16444552,4
2612527,16445073,3
2612527,16464284,8
2612527,16485079,12
2612527,16492104,1
2612527,16493805,1
2612527,16493809,2
2612527,16493813,1
2612527,16493947,2
2612527,16493996,1
2612527,16544485,11
2612527,16678261,1
2612527,16678266,1
2612527,16769157,1
2612527,16786043,1
2612527,16795838,2
2612527,16799739,2
2612527,16799939,1
2612527,16811720,1
2612527,16811735,1
2612527,16812334,1
2612527,16812344,1
2612527,16812370,2
2612527,16812401,1
2612527,16812416,1
2612527,16812444,1
2612527,16812449,1
2612527,16812482,2
2612527,16812533,1
2612527,16812564,1
2612527,16812607,1
2612527,16812624,2
2612527,16812650,1
2612527,16812671,1
2612527,16812686,2
2612527,16816040,1
2612527,16816060,1
2612527,16959698,1
2612527,17038587,2
2612527,17047087,15
2612527,17059634,1
2612527,17165286,4
2612527,17237305,1
2612527,17295980,2
2612527,17315288,3
2612527,17354392,2
2612527,17360022,4
2612527,17434825,12
2612527,17450020,1
2612527,17636952,1
2612527,17639638,2
2612527,17705170,1
2612527,17707164,1
2612527,17776906,2
2612527,17885306,1
2612527,17891202,1
2612527,17962513,1
2612527,18012103,1
2612527,18026934,2
2612527,18067334,3
2612527,18648531,8
2612527,18676522,1
2612527,18688596,2
2612527,18705032,1
2612527,18733930,1
2612527,18735427,1
2612527,18738352,1
2612527,18788333,2
2612527,18789962,2
2612527,18824442,2
2612527,18841948,2
2612527,18962013,2
2612527,19045334,1
2612527,19051762,1
2612527,19093230,1
2612527,19093295,1
2612527,19093306,1
2612527,19093390,1
2612527,19093395,1
2612527,19093423,1
2612527,19093430,1
2612527,19161892,1
2612527,19162016,1
2612527,19162021,1
2612527,19237144,1
2628785,2612527,11
2628785,3450751,7
2628785,4152020,1
2628785,4391978,1
2628785,4876704,1
2628785,8980589,4
2628785,9469519,1
2628785,16485079,24
2628785,16795524,1
2628785,17434825,20
2648254,3813487,2
2648254,17068730,2
2667061,4414184,1
2667061,4598109,1
2667061,6611894,5
2667061,9074101,1
2667061,9109799,1
2667061,11525714,1
2667061,16178283,1
2667061,16240569,15
2667061,16353832,2
2681844,12805363,1
2713762,7934904,2
2713762,7935088,1
2718132,3712893,1
2775707,2921933,1
2775707,8598886,1
2775943,2921933,3
2775943,3664102,2
2776773,7555968,1
2776773,8598886,1
2776773,9275210,1
2797480,4134539,1
2797480,11017761,1
2854715,4022539,2
2854715,16178283,2
2914206,2921933,12
2914206,3664102,2
2914206,4620453,1
2914206,7971031,1
2914206,8598886,5
2914206,9275210,6
2914206,9291474,1
2920554,14541927,1
2921933,2775707,2
2921933,2775943,1
2921933,2776773,1
2921933,2914206,12
2921933,2921933,22
2921933,2922053,1
2921933,2922076,1
2921933,2922092,1
2921933,2922099,1
2921933,2922322,1
2921933,2922348,1
2921933,2922358,1
2921933,2922365,1
2921933,2922398,1
2921933,2922414,1
2921933,2922446,1
2921933,2922600,1
2921933,2922811,1
2921933,2923061,1
2921933,2923092,1
2921933,3002410,1
2921933,3520869,1
2921933,3520876,1
2921933,3520920,1
2921933,3550736,1
2921933,3664102,34
2921933,3768394,1
2921933,3869488,1
2921933,3991518,4
2921933,4102413,16
2921933,4127707,2
2921933,4152020,8
2921933,4229950,8
2921933,5475815,1
2921933,5507096,6
2921933,5507437,1
2921933,7962986,1
2921933,7971031,6
2921933,7977834,1
2921933,8138616,17
2921933,8310955,14
2921933,8585030,1
2921933,8598886,20
2921933,8721944,1
2921933,8721953,1
2921933,8721990,1
2921933,8722000,1
2921933,8722032,1
2921933,8722039,1
2921933,8722046,1
2921933,8722069,1
2921933,8722100,1
2921933,8722208,1
2921933,8722222,1
2921933,8722238,1
2921933,8722255,1
2921933,8722262,1
2921933,8722314,1
2921933,8887326,1
2921933,8887337,1
2921933,8887425,1
2921933,8980589,2
2921933,8993521,1
2921933,9275210,18
2921933,9747710,8
2921933,9798183,1
2921933,9798189,1
2921933,9853259,2
2921933,9853271,1
2921933,9854562,1
2921933,9855612,3
2921933,10103389,1
2921933,10293348,17
2921933,10340880,4
2921933,11801935,1
2921933,11973093,1
2921933,11973271,1
2921933,11973278,1
2921933,12027450,1
2921933,12979483,1
2921933,12983010,1
2921933,13863331,1
2921933,15605987,1
2921933,16181377,1
2921933,16393610,1
2921933,16421870,1
2921933,16421892,1
2921933,17658884,1
2921933,17720666,1
2921933,17720674,1
2921933,17721035,1
2921933,17721107,1
2921933,17732296,1
2921933,17871578,1
2921933,17871614,1
2921933,17872257,1
2921933,17872270,1
2921933,17872426,1
2921933,17907649,1
2921933,17913185,5
2921933,18292832,1
2921933,18598747,1
2921933,18619716,1
2921933,19056101,1
2921933,19056423,1
2921933,19195825,1
2921933,19196285,1
2932028,7971031,1
2932028,9275210,1
2963280,8319311,1
2966602,3234817,1
2966602,4414163,7
2966602,4414184,5
2966602,4884579,1
2966602,6703240,5
2966602,12871993,1
2966602,18028397,1
2979486,4884579,1
2979486,6611894,1
2979486,15398730,5
2979675,15253921,1
3002410,2921933,4
3002410,3664102,1
3002410,3690921,4
3002410,3756659,1
3002410,7971031,9
3002410,9275210,21
3010486,8319311,4
3010486,8689674,2
3010486,16353832,8
3027876,10673895,1
3044500,11525714,1
3054101,2612527,7
3060480,8689674,1
3061422,4598109,1
3061422,7935088,1
3061422,15571194,2
3071301,7935088,1
3071301,11543212,3
3080289,6611894,9
3123905,4391978,2
3157405,4414184,6
3158123,6611894,2
3158123,7057894,4
3158543,3712893,10
3158543,7845346,82
3158543,11543212,11
3158543,16795524,1
3166836,8689674,1
3199456,3709977,1
3199456,4119387,2
3199456,4391978,2
3199456,4598109,1
3232277,8319311,1
3232277,16353832,2
3234817,29,18
3234817,677717,16
3234817,678509,1
3234817,678551,1
3234817,678559,1
3234817,678719,1
3234817,3148593,1
3234817,3234817,2
3234817,3347708,4
3234817,3347834,18
3234817,3497901,22
3234817,3522293,2
3234817,3587612,12
3234817,3664102,2
3234817,3813487,8
3234817,4227304,4
3234817,4227544,4
3234817,4230061,8
3234817,4230739,4
